Category,Carbohydrate,Cholesterol,Fiber,Energy,Protein,Fat,product_expiry_days
apple,13.81,0,2.4,52,0.26,0.17,10
apples,13.81,0,2.4,52,0.26,0.17,10
apricot,11.12,0,2,48,1.4,0.39,5
apricots,11.12,0,2,48,1.4,0.39,5
asparagus,3.88,0,2.1,20,2.2,0.12,6
asparaguses,3.88,0,2.1,20,2.2,0.12,6
avocado,8.53,0,6.7,160,2,14.66,5
avocados,8.53,0,6.7,160,2,14.66,5
bacon,6.32,0,2.6,310,10.68,29.52,3
bacons,6.32,0,2.6,310,10.68,29.52,3
banana,22.84,0,2.6,89,1.09,0.33,5
bananas,22.84,0,2.6,89,1.09,0.33,5
bean,4.1,0,0,29,4.2,0.5,6
beans,4.1,0,0,29,4.2,0.5,6
beef,0,55,0,117,23.07,2.69,3
beefs,0,55,0,117,23.07,2.69,3
beet,9.56,0,2.8,43,1.61,0.17,10
beetroot,9.56,0,2.8,43,1.61,0.17,10
beetroots,9.56,0,2.8,43,1.61,0.17,10
beets,9.56,0,2.8,43,1.61,0.17,10
blueberries,14.49,0,2.4,57,0.74,0.33,14
blueberry,14.49,0,2.4,57,0.74,0.33,14
broccoli,6.64,0,2.6,34,2.82,0.37,5
broccolis,6.64,0,2.6,34,2.82,0.37,5
brussel,8.95,0,3.8,43,3.38,0.3,10
brussels,8.95,0,3.8,43,3.38,0.3,10
butter,0.06,215,0,717,0.85,81.11,15
butters,0.06,215,0,717,0.85,81.11,15
cabbage,5.8,0,2.5,25,1.28,0.1,14
cabbages,5.8,0,2.5,25,1.28,0.1,14
capsicum,6,0,1.5,20,1,0.2,7
capsicums,6,0,1.5,20,1,0.2,7
carrot,9.58,0,2.8,41,0.93,0.24,20
carrots,9.58,0,2.8,41,0.93,0.24,20
cauliflower,5.3,0,2.5,25,1.98,0.1,7
cauliflowers,5.3,0,2.5,25,1.98,0.1,7
celeries,2.97,0,1.6,16,0.69,0.17,7
celery,2.97,0,1.6,16,0.69,0.17,7
cheese,2.34,75,0,353,21.4,28.74,15
cheeses,2.34,75,0,353,21.4,28.74,15
chicken,0.13,90,0,213,18.33,14.83,3
chickens,0.13,90,0,213,18.33,14.83,3
chilli,9,0,1.5,40,2,0.3,7
chillies,9,0,1.5,40,2,0.3,7
chkn,0.13,90,0,213,18.33,14.83,3
choy,2.18,0,1,13,1.5,0.2,4
choys,2.18,0,1,13,1.5,0.2,4
coconut,3.71,0,1.1,19,0.72,0.2,30
coconuts,3.71,0,1.1,19,0.72,0.2,30
corn,19.02,0,2.7,86,3.22,1.18,3
corns,19.02,0,2.7,86,3.22,1.18,3
cranberries,12.2,0,4.6,46,0.39,0.13,15
cranberry,12.2,0,4.6,46,0.39,0.13,15
cucumb,3.63,0,0.5,15,0.65,0.11,7
cucumber,3.63,0,0.5,15,0.65,0.11,7
cucumbers,3.63,0,0.5,15,0.65,0.11,7
curd,16.9,37,1.6,176,7.84,9.02,10
curds,16.9,37,1.6,176,7.84,9.02,10
date,75.03,0,8,282,2.45,0.39,90
dates,75.03,0,8,282,2.45,0.39,90
dragonfruit,15.2,0,3.1,57,0.36,0.14,4
dragonfruits,15.2,0,3.1,57,0.36,0.14,4
durian,27.09,0,3.8,147,1.47,5.33,5
durians,27.09,0,3.8,147,1.47,5.33,5
egg,0.77,423,0,143,12.58,9.94,20
eggplant,5.7,0,3.4,24,1.01,0.19,3
eggplants,5.7,0,3.4,24,1.01,0.19,3
eggs,0.77,423,0,143,12.58,9.94,20
fennel,7.29,0,3.1,31,1.24,0.2,15
fennels,7.29,0,3.1,31,1.24,0.2,15
fig,19.18,0,2.9,74,0.75,0.3,3
figs,19.18,0,2.9,74,0.75,0.3,3
fish,0,50,0,96,20.08,1.7,2
fishes,0,50,0,96,20.08,1.7,2
garlic,33.06,0,2.1,149,6.36,0.5,150
garlics,33.06,0,2.1,149,6.36,0.5,150
ginger,70.79,0,12.5,347,9.12,5.95,14
gingers,70.79,0,12.5,347,9.12,5.95,14
grape,17.15,0,0.9,67,0.63,0.35,14
grapefruit,8.08,0,1.1,32,0.63,0.1,14
grapefruits,8.08,0,1.1,32,0.63,0.1,14
grapes,17.15,0,0.9,67,0.63,0.35,14
guava,14.32,0,5.4,68,2.55,0.95,4
guavas,14.32,0,5.4,68,2.55,0.95,4
jackfruit,24.01,0,1.6,94,1.47,0.3,10
jackfruits,24.01,0,1.6,94,1.47,0.3,10
kale,10.01,0,2,50,3.3,0.7,4
kales,10.01,0,2,50,3.3,0.7,4
kiwifruit,14.66,0,3,61,1.14,0.52,10
kiwifruits,14.66,0,3,61,1.14,0.52,10
leek,14.15,0,1.8,61,1.5,0.3,10
leeks,14.15,0,1.8,61,1.5,0.3,10
lemon,9.32,0,2.8,29,1.1,0.3,14
lemons,9.32,0,2.8,29,1.1,0.3,14
lettuce,2.23,0,1.1,13,1.35,0.22,10
lettuces,2.23,0,1.1,13,1.35,0.22,10
lime,10.54,0,2.8,30,0.7,0.2,14
limes,10.54,0,2.8,30,0.7,0.2,14
longan,15.14,0,1.1,60,1.31,0.1,10
longans,15.14,0,1.1,60,1.31,0.1,10
mango,17,0,1.8,65,0.51,0.27,7
mangoes,17,0,1.8,65,0.51,0.27,7
meat,0,58,0,188,17.9,11.6,3
meats,0,58,0,188,17.9,11.6,3
melon,8.16,0,0.9,34,0.84,0.19,10
melons,8.16,0,0.9,34,0.84,0.19,10
milk,4.74,2,0,63,3.33,3.46,10
milks,4.74,2,0,63,3.33,3.46,10
mushroom,4.91,0,2.2,35,4.27,0.75,5
mushrooms,4.91,0,2.2,35,4.27,0.75,5
mutton,0.08,109,0,234,33.43,11.09,3
muttons,0.08,109,0,234,33.43,11.09,3
okra,7.03,0,3.2,31,2,0.1,2
okras,7.03,0,3.2,31,2,0.1,2
onion,9.34,0,1.7,40,1.1,0.1,90
onions,9.34,0,1.7,40,1.1,0.1,90
orange,11.75,0,2.4,47,0.94,0.12,8
oranges,11.75,0,2.4,47,0.94,0.12,8
papaya,9.81,0,1.8,39,0.61,0.14,4
papayas,9.81,0,1.8,39,0.61,0.14,4
parsnip,17.99,0,4.9,75,1.2,0.3,20
parsnips,17.99,0,4.9,75,1.2,0.3,20
passionfruit,23.38,0,10.4,97,2.2,0.7,6
passionfruits,23.38,0,10.4,97,2.2,0.7,6
pea,7.55,0,2.6,42,2.8,0.2,3
peach,9.54,0,1.5,39,0.91,0.25,3
peaches,9.54,0,1.5,39,0.91,0.25,3
pear,15.46,0,3.1,58,0.38,0.12,5
pears,15.46,0,3.1,58,0.38,0.12,5
peas,7.55,0,2.6,42,2.8,0.2,3
persimmon,18.59,0,3.6,70,0.58,0.19,5
persimmons,18.59,0,3.6,70,0.58,0.19,5
pineapple,13.12,0,1.4,50,0.54,0.12,4
pineapples,13.12,0,1.4,50,0.54,0.12,4
plum,11.42,0,1.4,46,0.7,0.28,4
plums,11.42,0,1.4,46,0.7,0.28,4
pomegranate,18.7,0,4,83,1.67,1.17,10
pomegranates,18.7,0,4,83,1.67,1.17,10
pork,0.32,81,0,585,10.06,60.42,2
porks,0.32,81,0,585,10.06,60.42,2
potato,17.47,0,2.2,77,2.02,0.09,30
potatoes,17.47,0,2.2,77,2.02,0.09,30
prawn,0.91,127,0,73,13.6,0,2
prawns,0.91,127,0,73,13.6,0,2
pumpkin,6.5,0,0.5,26,1,0.1,30
pumpkins,6.5,0,0.5,26,1,0.1,30
quince,15.3,0,1.9,57,0.4,0.1,20
quinces,15.3,0,1.9,57,0.4,0.1,20
radish,3.4,0,1.6,16,0.68,0.1,10
radishes,3.4,0,1.6,16,0.68,0.1,10
raspberries,11.94,0,6.5,52,1.2,0.65,3
raspberry,11.94,0,6.5,52,1.2,0.65,3
rhubarb,4.54,0,1.8,21,0.9,0.2,10
rhubarbs,4.54,0,1.8,21,0.9,0.2,10
spinach,3.63,0,2.2,23,2.86,0.39,4
spinaches,3.63,0,2.2,23,2.86,0.39,4
sprout,8.95,0,3.8,43,3.38,0.3,10
sprouts,8.95,0,3.8,43,3.38,0.3,10
squash,4.04,0,1.9,19,0.94,0.24,8
squashes,4.04,0,1.9,19,0.94,0.24,8
strawberries,7.68,0,2,32,0.67,0.3,3
strawberry,7.68,0,2,32,0.67,0.3,3
swede,8,0,2,35,1.5,0.2,12
swedes,8,0,2,35,1.5,0.2,12
tamarind,62.5,0,5.1,239,2.8,0.6,180
tamarinds,62.5,0,5.1,239,2.8,0.6,180
tomato,5.1,0,1.1,23,1.2,0.2,7
tomatoes,5.1,0,1.1,23,1.2,0.2,7
tuna,0,38,0,144,23.33,4.9,2
tunas,0,38,0,144,23.33,4.9,2
turnip,6.43,0,1.8,28,0.9,0.1,14
turnips,6.43,0,1.8,28,0.9,0.1,14
yoghurt,15,13,0.9,124,5.31,5.31,10
yoghurts,15,13,0.9,124,5.31,5.31,10
zucchini,3.1,0,1,17,1.2,0.3,4
zucchinis,3.1,0,1,17,1.2,0.3,4
